Emperor, In the Nightside Eclipse,
Daughters, You Won't Get What You Want,
David Bowie, Station to Station (2016 Remaster),
Freddie Gibbs, Bandana,
Leviathan, Scar Sighted,
Rivers of Nihil, Where Owls Know My Name,
Zhrine, Unortheta,
Swans, To Be Kind,
Akhlys, The Dreaming I,
